Cocktail Name,Ingredients,Preparation,Glassware,Bartender,Location,Image_URL,Image_Path,Ingredients (Hebrew),Preparation (Hebrew)
Dry Martini,60 ml Gin 10 ml Dry Vermouth,Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled martini cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-dry-martini-6694910fb500c.webp,cocktail_images\dry_martini.jpg,"60 מ""ל ג'ין 10 מ""ל ורמוט יבש",יוצקים את כל החומרים לכוס ערבוב עם קוביות קרח. מערבבים היטב. מסננים לכוס קוקטייל מרטיני צוננת.
Gin Fizz,45 ml Gin 30 ml Fresh Lemon Juice 10 ml Simple Syrup Splash of Soda Water,"Shake all ingredients with ice except soda water. Pour into thin tall Tumbler glass , top with a splash soda water. NOTE: Serve without ice.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-gin-fizz-6694910fc2eab.webp,cocktail_images\gin_fizz.jpg,"45 מ""ל ג'ין 30 מ""ל מיץ לימון טרי 10 מ""ל סירופ פשוט שפריץ של מי סודה","לנער את כל החומרים עם קרח למעט מי סודה. מוזגים לכוס טמבלר גבוהה ודקה, ומעליה מתיז מי סודה. הערה: מגישים ללא קרח."
Hanky Panky,45 ml London Dry Gin 45 ml Sweet Red Vermouth 7.5 ml Fernet,Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-hanky-panky-66949112edbf5.webp,cocktail_images\hanky_panky.jpg,"45 מ""ל London Dry Gin 45 מ""ל Sweet Red Vermouth 7.5 מ""ל Fernet",יוצקים את כל החומרים לכוס ערבוב עם קוביות קרח. מערבבים היטב. מסננים לכוס קוקטייל צוננת.
John Collins,45 ml Gin 30 ml Fresh Lemon Juice 15 ml Simple Syrup 60 ml  Soda Water,Pour all ingredients directly into highball filled with ice. Stir gently. NOTE: Use ‘Old Tom’ Gin for Tom Collins.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-john-collins-669491130ef87.webp,cocktail_images\john_collins.jpg,"45 מ""ל ג'ין 30 מ""ל מיץ לימון טרי 15 מ""ל סירופ פשוט 60 מ""ל  מי סודה",יוצקים את כל המרכיבים ישירות לתוך הייבול מלא בקרח. מערבבים בעדינות. הערה: השתמש בג'ין 'טום הישן' עבור טום קולינס.
Last Word,22.5 ml Gin 22.5 ml Green Chartreuse 22.5 ml Maraschino Luxardo 22.5 ml Fresh Lime Juice,Add all ingredients into a cocktail shaker. Shake with ice and strain into a chilled cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-last-word-6694911607ddf.webp,cocktail_images\last_word.jpg,"22.5 מ""ל ג'ין 22.5 מ""ל שרטרז ירוק 22.5 מ""ל Maraschino Luxardo 22.5 מ""ל מיץ ליים טרי",מוסיפים את כל החומרים לשייקר קוקטיילים. מנערים עם קרח ומסננים לכוס קוקטייל צוננת.
Manhattan,50 ml Rye Whiskey 20 ml Sweet Red Vermouth 1 dash Angostura Bitters,Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-manhattan-6694911627de7.webp,cocktail_images\manhattan.jpg,"50 מ""ל ויסקי שיפון 20 מ""ל ורמוט אדום מתוק 1 קורטוב אנגוסטורה ביטר",יוצקים את כל החומרים לכוס ערבוב עם קוביות קרח. מערבבים היטב. מסננים לכוס קוקטייל צוננת.
Martinez,45 ml London Dry Gin 45 ml Sweet Red Vermouth 1 Bar Spoon Maraschino Luxardo 2 Dashes Orange Bitters,Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-martinez-6694911927849.webp,cocktail_images\martinez.jpg,"45 מ""ל London Dry Gin 45 מ""ל ורמוט אדום מתוק 1 כפית בר Maraschino Luxardo 2 מקפים כתום ביטר",יוצקים את כל החומרים לכוס ערבוב עם קוביות קרח. מערבבים היטב. מסננים לכוס קוקטייל צוננת.
Mary Pickford,45 ml White Rum 45 ml Fresh Pineapple Juice 7.5 ml Maraschino Luxardo 5 ml Grenadine Syrup,"Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-mary-pickford-6694911933ea7.webp,cocktail_images\mary_pickford.jpg,"45 מ""ל רום לבן 45 מ""ל מיץ אננס טרי 7.5 מ""ל Maraschino Luxardo 5 מ""ל סירופ גרנדין","יוצקים את כל החומרים לשייקר קוקטיילים, מנערים היטב עם קרח, מסננים לכוס קוקטייל צוננת."
Monkey Gland,45 ml Dry Gin 45 ml Fresh Orange Juice 1 Tablespoon Absinthe 1 Tablespoon Grenadine Syrup,"Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-monkey-gland-6694911cbf5a2.webp,cocktail_images\monkey_gland.jpg,"45 מ""ל ג'ין יבש 45 מ""ל מיץ תפוזים טרי 1 כף אבסינת 1 כף סירופ גרנדין","יוצקים את כל החומרים לשייקר קוקטיילים, מנערים היטב עם קרח, מסננים לכוס קוקטייל צוננת."
Negroni,30 ml Gin 30 ml Bitter Campari 30 ml Sweet Red Vermouth,Pour all ingredients directly into chilled old fashioned glass filled with ice. Stir gently.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-negroni-6694911cc3b65.webp,cocktail_images\negroni.jpg,"30 מ""ל ג'ין 30 מ""ל קמפרי ביטר 30 מ""ל ורמוט אדום מתוק",יוצקים את כל המרכיבים ישירות לכוס צוננת מיושנת מלאה בקרח. מערבבים בעדינות.
Old Fashioned,45 ml Bourbon or Rye Whiskey 1 Sugar Cube Few Dashes Angostura Bitters Few Dashes Plain Water,"Place sugar cube in old fashioned glass and saturate with bitter, add few dashes of plain water. Muddle until dissolved. Fill the glass with ice cubes and add whiskey. Stir gently.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-old-fashioned-6694911fce360.webp,cocktail_images\old_fashioned.jpg,"45 מ""ל ויסקי בורבון או שיפון 1 קוביית סוכר מעט מקפים אנגוסטורה ביטר מעט קווים מים רגילים","מניחים קוביית סוכר בכוס מיושנת ומשרים במר, מוסיפים כמה קורות מים רגילים. מערבבים עד להמסה. ממלאים את הכוס בקוביות קרח ומוסיפים וויסקי. מערבבים בעדינות."
Paradise,30 ml Gin 20 ml Apricot Brandy 15 ml Fresh Orange Juice,"Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-paradise-6694911fdbd4b.webp,cocktail_images\paradise.jpg,"30 מ""ל ג'ין 20 מ""ל משמש ברנדי 15 מ""ל מיץ תפוזים טרי","יוצקים את כל המרכיבים לשייקר קוקטיילים, מנערים היטב עם קרח, מסננים לכוס קוקטייל צוננת."
Planters Punch,45 ml Jamaican Rum 15 ml Lime Juice 30 ml Sugar Cane Juice,"Pour all ingredients directly in a small tumbler or a typical terracotta glass. NOTE: Add dilution up to taste, it can be given by water, ice or fresh juices.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-planters-punch-66949122d41fb.webp,cocktail_images\planters_punch.jpg,"45 מ""ל רום ג'מייקני 15 מ""ל מיץ ליים 30 מ""ל מיץ קני סוכר","מוזגים את כל החומרים ישירות בכוס קטנה או בכוס טרקוטה טיפוסית. הערה: הוסף דילול לפי הטעם, זה יכול להינתן על ידי מים, קרח או מיצים טריים."
Porto Flip,15 ml Brandy 45 ml Red Tawny Port Wine 10 ml Egg Yolk,"Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-porto-flip-669491230cea4.webp,cocktail_images\porto_flip.jpg,"15 מ""ל ברנדי 45 מ""ל יין פורט אדום טאוני 10 מ""ל חלמון ביצה","יוצקים את כל החומרים לשייקר קוקטיילים, מנערים היטב עם קרח, מסננים לכוס קוקטייל צוננת."
Ramos Fizz,45 ml Gin 15 ml Fresh Lime Juice 15 ml Fresh Lemon Juice 30 ml Sugar Syrup 60 ml Cream 30ml Egg white 3 Dashes Orange Flower Water 2 Drops Vanilla Extract Soda Water,"Pour all ingredients except soda water in a cocktail shaker with ice. Shake for two minutes, double strain in a glass, pour the drink back in the shaker and hard shake without ice for one minute. Strain into a highball glass, top up with soda. NOTE: The drink was invented by Henry Ramos in 1888, at his bar Meyer’s Table d’Hôtel Internationale in New Orleans. The Ramos Fizz was originally shaken for 12 minutes by a crew of 30 bartenders who passed the shaker from one to another.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-ramos-fizz-669491260ca6c.webp,cocktail_images\ramos_fizz.jpg,"45 מ""ל ג'ין 15 מ""ל מיץ ליים טרי 15 מ""ל מיץ לימון טרי 30 מ""ל סירופ סוכר 60 מ""ל שמנת 30 מ""ל חלבון ביצה 3 מקפים מי פרחי תפוז 2 טיפות מי סודה תמצית וניל","יוצקים את כל המרכיבים מלבד מי סודה בשייקר קוקטיילים עם קרח. לנער שתי דקות, לסנן כפול בכוס, לשפוך את המשקה בחזרה לשייקר ולנער חזק ללא קרח למשך דקה. מסננים לכוס הייבול, ממלאים בסודה. הערה: המשקה הומצא על ידי הנרי ראמוס בשנת 1888, בבר שלו Meyer's Table d'Hôtel Internationale בניו אורלינס. ה-Ramos Fizz נער במקור במשך 12 דקות על ידי צוות של 30 ברמנים שהעבירו את השייקר מאחד לשני."
Remember the Maine,60 ml Rye Whiskey 22.5 ml Sweet Vermouth 15 ml Cherry Brandy Luxardo 7.5 ml Absinthe,"Pour the absinthe into a coupe glass and swirl to completely coat the inside. Discard the absinthe and set the glass aside. Add the other ingredients to a mixing glass and fill it 3/4 full with ice. Stir until chilled, then strain into the glass rinsed with the absinthe.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-remember-the-main-6694912622959.webp,cocktail_images\remember_the_maine.jpg,"60 מ""ל ויסקי שיפון 22.5 מ""ל ורמוט מתוק 15 מ""ל דובדבן ברנדי לוקסרדו 7.5 מ""ל אבסינת","מוזגים את האבסינת לכוס קופה ומערבלים כדי לצפות לחלוטין את החלק הפנימי. זורקים את האבסינת ומניחים את הכוס בצד. מוסיפים את שאר המרכיבים לכוס ערבוב וממלאים אותה ל-3/4 בקרח. מערבבים עד לצינון, ואז מסננים לתוך הכוס שטופה באבסינת."
Rusty Nail,45 ml Scotch Whisky 25 ml Drambuie,Pour all ingredients directly into an old fashioned glass filled with ice. Stir gently.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-rusty-nail-66949129acfd1.webp,cocktail_images\rusty_nail.jpg,"45 מ""ל וויסקי סקוטי 25 מ""ל Drambuie",יוצקים את כל המרכיבים ישירות לכוס מיושנת מלאה בקרח. מערבבים בעדינות.
Sazerac,50 ml Cognac 10 ml Absinthe 1 Sugar Cube 2 Dashes Peychaud’s Bitters,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice and set it aside. Stir the remaining ingredients over ice in a mixing glass. Discard the ice and any excess absinthe from the prepared glass, strain the mixed drink into the glass. NOTE: The original recipe changed after the American Civil War, Rye Whiskey substituted Cognac as it became hard to obtain.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-sazerac-66949129b50d1.webp,cocktail_images\sazerac.jpg,"50 מ""ל קוניאק 10 מ""ל אבסינת 1 קוביית סוכר 2 קווצות פיישו'ס ביטר","שוטפים כוס מיושן צוננת עם האבסינת, מוסיפים קרח כתוש ומניחים בצד. מערבבים את שאר החומרים על קרח בכוס ערבוב. השליכו את הקרח וכל עודפי אבסינת מהכוס המוכנה, מסננים את המשקה המעורב לתוך הכוס. הערה: המתכון המקורי השתנה לאחר מלחמת האזרחים האמריקאית, וויסקי שיפון החליף את הקוניאק מכיוון שהפך קשה להשגה."
Sidecar,50 ml Cognac 20 ml Triple Sec 20 ml Fresh Lemon Juice,"Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-sidecar-6694912cb8aa9.webp,cocktail_images\sidecar.jpg,"50 מ""ל קוניאק 20 מ""ל Triple Sec 20 מ""ל מיץ לימון טרי","יוצקים את כל החומרים לשייקר קוקטיילים, מנערים היטב עם קרח, מסננים לכוס קוקטייל צוננת."
Stinger,50 ml Cognac 20 ml White Crème de Menthe,Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled martini cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-stinger-6694912ce0b8d.webp,cocktail_images\stinger.jpg,"50 מ""ל קוניאק 20 מ""ל קרם דה מנטה לבן",יוצקים את כל החומרים לכוס ערבוב עם קוביות קרח. מערבבים היטב. מסננים לכוס קוקטייל מרטיני צוננת.
Tuxedo,30 ml Old Tom Gin 30 ml Dry Vermouth 1/2 Bar Spoon Maraschino Luxardo 1/4 Bar Spoon of Absinthe 3 Dashes Orange Bitters,Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled martini cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-tuxedo-6694912fd3b8f.webp,cocktail_images\tuxedo.jpg,"30 מ""ל אולד טום ג'ין 30 מ""ל ורמוט יבש 1/2 כפית בר Maraschino Luxardo 1/4 בר כפית אבסינת 3 נקודות כתומים ביטר",יוצקים את כל החומרים לכוס ערבוב עם קוביות קרח. מערבבים היטב. מסננים לכוס קוקטייל מרטיני צוננת.
Vieux Carré,30 ml Rye Whiskey 30 ml Cognac 30 ml Sweet Vermouth 1 Bar Spoon Bénédictine 2 Dashes Peychaud’s Bitters,Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-vieux-carre-6694913015248.webp,cocktail_images\vieux_carr_.jpg,"30 מ""ל ויסקי שיפון 30 מ""ל קוניאק 30 מ""ל ורמוט מתוק 1 כפית בר בנדיקטין 2 מקפים פישו'ס ביטר",יוצקים את כל החומרים לכוס ערבוב עם קוביות קרח. מערבבים היטב. מסננים לכוס קוקטייל צוננת.
Whiskey Sour,45 ml Bourbon Whiskey 25 ml Fresh Lemon Juice 20 ml Sugar Syrup Few Drops of Egg White (Optional),"Pour all ingredients into cocktail shaker filled with ice. Shake well. Strain into cobbler glass. If served “On the rocks”, strain ingredients into old fashioned glass filled with ice. NOTE: If egg white is used shake little harder to release and incorporate the foam from the egg white.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-whiskey-sour-66949132e6ae9.webp,cocktail_images\whiskey_sour.jpg,"45 מ""ל ויסקי בורבון 25 מ""ל מיץ לימון טרי 20 מ""ל סירופ סוכר כמה טיפות חלבון ביצה (אופציונלי)","יוצקים את כל החומרים לשייקר קוקטיילים מלאים בקרח. לנער היטב. מסננים לתוך זכוכית סנדלר. אם מגישים ""על הסלעים"", מסננים את המרכיבים לכוס מיושנת מלאה בקרח. הערה: אם משתמשים בחלבון ביצה לנער קצת יותר חזק כדי לשחרר ולשלב את הקצף מהחלבון."
White Lady,40 ml Gin 30 ml Triple Sec 20 ml Fresh Lemon Juice,"Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-white-lady-6694913318105.webp,cocktail_images\white_lady.jpg,"40 מ""ל ג'ין 30 מ""ל Triple Sec 20 מ""ל מיץ לימון טרי","יוצקים את כל החומרים לשייקר קוקטיילים, מנערים היטב עם קרח, מסננים לכוס קוקטייל צוננת."
Bellini,100 ml Prosecco 50 ml White Peach Puree,"Pour peach puree into the mixing glass with ice, add the Prosecco wine. Stir gently and pour in a chilled flute glass. NOTE: Puccini – Fresh Mandarin Orange Juice; Rossini – Fresh Strawberry Puree; Tintoretto –  Fresh Pomegranate Juice.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-bellini-6695cda4217da.webp,cocktail_images\bellini.jpg,"100 מ""ל פרוסקו 50 מ""ל פירה אפרסק לבן","מוזגים מחית אפרסקים לכוס הערבוב עם קרח, מוסיפים את יין הפרוסקו. מערבבים בעדינות ומוזגים לכוס חליל צוננת. הערה: פוצ'יני - מיץ מנדרינה טרי; רוסיני - פירה תותים טריים; טינטורטו – מיץ רימונים טרי."
Black Russian,50 ml Vodka 20 ml Coffee Liqueur,Pour the ingredients into the old fashioned glass filled with ice cubes. Stir gently. strain ingredients into old fashioned glass filled with ice. NOTE: WHITE RUSSIAN – Float fresh cream on the top and stir in slowly.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-black-russian-6695cda4183dc.webp,cocktail_images\black_russian.jpg,"50 מ""ל וודקה 20 מ""ל ליקר קפה",יוצקים את החומרים לכוס המיושנת המלאה בקוביות קרח. מערבבים בעדינות. מסננים את המרכיבים לתוך זכוכית מיושנת מלאה בקרח. הערה: WHITE RUSSIAN – מצפים שמנת טרייה למעלה ומערבבים פנימה לאט.
Bloody Mary,"45 ml Vodka 90 ml Tomato Juice 15 ml Fresh Lemon Juice 2 dashes Worcestershire Sauce Tabasco, Celery Salt, Pepper (Up to taste)","Stir gently all the ingredients in a mixing glass with ice, pour into rocks glass. NOTE: If requested served with ice, pour into highball glass.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-bloody-mary-6695cda72fe0f.webp,cocktail_images\bloody_mary.jpg,"45 מ""ל וודקה 90 מ""ל מיץ עגבניות 15 מ""ל מיץ לימון טרי 2 מקפים רוטב ווסטרשייר טבסקו, מלח סלרי, פלפל (לפי הטעם)","מערבבים בעדינות את כל המרכיבים בכוס ערבוב עם קרח, יוצקים לכוס סלעים. הערה: אם מבקשים מגישים עם קרח, מוזגים לכוס הייבול."
Caipirinha,60 ml Cachaça 1 Lime cut into small wedges 4 Teaspoons White Cane Sugar,Place lime and sugar into a double old fashioned glass and muddle gently. Fill the glass with cracked ice and add Cachaça. Stir gently to involve ingredients. Note: Caipiroska – Instead of Cachaça use Vodka; Caipirissima – Instead of Cachaça use Rum. Caipirão – Instead of Cachaça use Licor Beirão.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-caipirinha-6695cda74b13a.webp,cocktail_images\caipirinha.jpg,"60 מ""ל קצ'סה 1 ליים חתוך לקוביות קטנות 4 כפיות סוכר קנים לבן",מניחים ליים וסוכר לכוס מיושן כפול ומתבלבלים בעדינות. ממלאים את הכוס בקרח סדוק ומוסיפים את קצ'אסה. מערבבים בעדינות כדי לערב את המרכיבים. הערה: Caipiroska - במקום Cachaça השתמש בוודקה; Caipirissima - במקום Cachaça השתמשו ברום. Caipirão - במקום Cachaça השתמשו ב-Licor Beirão.
Cardinale,40 ml Gin 20 ml Dry Vermouth 10 ml Bitter Campari,Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-cardinale-6695cdaa5f0d8.webp,cocktail_images\cardinale.jpg,"40 מ""ל ג'ין 20 מ""ל ורמוט יבש 10 מ""ל קמפרי ביטר",יוצקים את כל החומרים לכוס ערבוב עם קוביות קרח. מערבבים היטב. מסננים לכוס קוקטייל צוננת.
Champagne Cocktail,90 ml Chilled Champagne 10 ml Cognac 2 dashes Angostura bitters Few drops of Grand Marnier (optional) 1 sugar cube,"Place the sugar cube with 2 dashes of bitters in a large Champagne glass, add the cognac. Pour gently chilled Champagne.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-champagne-cocktail-6695cdaa71bb2.webp,cocktail_images\champagne_cocktail.jpg,"90 מ""ל שמפניה צוננת 10 מ""ל קוניאק 2 מקפים אנגוסטורה ביטר כמה טיפות גראנד מרנייה (לא חובה) 1 קוביית סוכר","מניחים את קוביית הסוכר עם 2 קורות ביטר בכוס שמפניה גדולה, מוסיפים את הקוניאק. יוצקים שמפניה צוננת בעדינות."
